stn,lat,lon,press,depth,depth_n,dCu_L,dCu_kg,dens,pot_dens,pot_temp,spicy,sal,temp,oxy,phosph,nitrate,silicate
P4,48.66,-126.66,10,10,10,2.21,2.16,1023.5,23.2118,16.368,-0.0991,31.8,16.37,162.83,0.27,0.02,2.12
P4,48.66,-126.66,25,25,25,2.04,1.99,1023.6,23.547,16.1761,-0.1611,32.18,16.18,197.28,0.34,0,2.07
P4,48.66,-126.66,35,34,35,2.16,2.11,1024.2,24.738,10.196,-0.978,32.3,10.2,225,0.34,0.06,3.56
P4,48.66,-126.66,40,40,40,1.7,1.66,1025.1,24.9438,9.8956,-0.949,32.4,9.9,239.78,0.58,2.24,6.05
P4,48.66,-126.66,49,48,50,1.96,1.91,1025.3,25.071,9.5947,-0.9195,32.5,9.6,228,0.63,2.25,6.05
P4,48.66,-126.66,75,74,75,2.22,2.16,1025.7,25.351,8.2926,-0.1048,32.6,8.3,208,0.95,3.31,6.24
P4,48.66,-126.66,100,99,100,2.2,2.14,1026.2,25.738,7.7904,-0.8012,33,7.8,168,1.41,9.16,8.38
P4,48.66,-126.66,151,149,150,2.43,2.36,1027.1,26.4254,7.3857,-0.2205,33.8,7.4,114,1.98,17.72,20
P4,48.66,-126.66,200,198,200,2.42,2.35,1027.5,26.588,6.7819,-0.2249,33.9,6.8,97,2.15,29,38.3
P4,48.66,-126.66,250,247,250,2.37,2.3,1027.8,26.629,6.4778,-0.2655,33.9,6.5,83,2.28,30.84,44.8
P4,48.66,-126.66,301,299,300,2.7,2.62,1028.1,26.773,5.9743,-0.251,34,6,70,2.49,31.9,47.3
P4,48.66,-126.66,359,356,360,2.89,2.81,1028.4,26.824,5.5706,-0.3008,34,5.6,50,2.66,35.78,59
P4,48.66,-126.66,399,395,400,2.98,2.9,1028.7,26.849,5.3675,-0.325,34,5.4,42,2.75,37.43,63.1
P4,48.66,-126.66,598,592,600,2.9,2.82,1029.8,27.092,4.6535,-0.2484,34.2,4.7,15,3.05,38.26,67.3
P4,48.66,-126.66,698,691,700,2.87,2.81,1020.4,27.137,4.307,-0.292,34.2,4.3,11,3.15,41.94,90.5
P4,48.66,-126.66,799,791,800,3,2.91,1030.9,27.229,4.1396,-0.2244,34.3,4.2,9,3.16,42.39,99.3
P4,48.66,-126.66,898,889,900,3.08,2.99,1031.4,27.261,3.8335,-0.2556,34.3,3.9,9,3.17,42.56,105.3
P4,48.66,-126.66,999,988,1000,2.83,2.74,1031.9,27.363,3.6267,-0.1973,34.4,3.7,10,3.18,43.42,112.3
P4,48.66,-126.66,1099,1086,1100,3.61,3.49,1032.5,27.393,3.3211,-0.2265,34.4,3.4,12,3.15,42.81,118.4
P4,48.66,-126.66,1198,1185,1200,3.72,3.6,1033,27.3946,3.131,-0.2273,34.4,3.4,15,3.14,42.88,124.6
P12,48.97,-130.67,10,10,10,1.7,1.66,1022.9,22.7567,15.9984,-0.757,31.1,16,175.4,0.37,0.1,6.06
P12,48.97,-130.67,25,25,25,1.85,1.81,1024.3,23.636,15.496,-0.0617,32.1,15.5,196.4,0.42,0.78,6.54
P12,48.97,-130.67,40,40,40,1.73,1.68,1025.1,24.654,11.995,-0.4839,32.5,12,237.5,0.66,4.19,9.75
P12,48.97,-130.67,49,48,50,1.75,1.71,1025.3,25.0219,9.8946,-0.8686,32.5,9.9,240,0.75,5.56,10.83
P12,48.97,-130.67,72,72,75,1.87,1.82,1025.9,25.557,7.3933,-1.1002,32.7,7.4,210,1.07,11.79,14.91
P12,48.97,-130.67,98,97,100,2.12,2.07,1026.5,26.0847,6.9911,-0.6745,33.3,7,172,1.5,19.87,24.94
P12,48.97,-130.67,150,149,150,2.43,2.36,1027.2,26.455,6.5867,-0.41,33.7,6.6,144,1.8,25.41,35.83
P12,48.97,-130.67,199,198,200,2.52,2.46,1027.6,26.637,5.7835,-0.4334,33.8,5.8,124,2.07,29.58,47.98
P12,48.97,-130.67,248,246,250,2.84,2.77,1027.9,26.7419,5.5797,-0.3789,33.9,5.6,84,2.4,34.05,57.3
